X,Y,CCN,ADDRESS,DATE_OF_OFFENSE,TIME_OF_OFFENSE,DATE_OFFENSE_RECORDED,REPORT_YEAR,MONTH,POLICE_DISTRICT,WARD,TYPE_OF_HATE_BIAS,TARGETED_GROUP,TOP_OFFENSE_TYPE,MAR_ID,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,SE_ANNO_CAD_DATA,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,OBJECTID,SHAPE
-77.0151850956465,38.9111289486642,13005668,3rd St NW and Q St NW,2013/01/13 05:00:00+00,1808-1809,2013/01/13 05:00:00+00,2013,1,5D,Ward 5,Sexual Orientation,,Simple Assault,901240,398683.19001273,138139.95001363,38.91112116,-77.01518281,,{ECA00B60-A2BB-46D9-9E22-5852D7CDFC2A},,,MPD,2024/02/16 21:02:52+00,4171,
-77.0218075405059,38.9679410500389,13016960,600 block of Tewkesbury Pl NW,2013/02/05 05:00:00+00,2200,2013/02/07 05:00:00+00,2013,2,4D,Ward 4,Religion,Jewish,Damage/Defacing/Destruction of Property,803021,398110.33,144446.71,38.96793325,-77.02180525,,{AA732AC4-FC73-4D61-AC22-4DC573AB7473},,,MPD,2024/02/16 21:02:52+00,4172,
-77.0229835388427,38.9029507962568,13017988,800 block of Mt Vernon Pl NW,2013/02/09 05:00:00+00,1400-1405,2013/02/09 05:00:00+00,2013,2,3D,Ward 2,Sexual Orientation,,Simple Assault,813971,398006.6,137232.25,38.90294301,-77.02298125,,{BDCC8310-1984-482C-B322-30DDF97B62A3},,,MPD,2024/02/16 21:02:52+00,4173,
-77.0080923909328,38.8346776865708,13024055,3800 block of South Capitol St SE,2013/02/22 05:00:00+00,1440-1448,2013/02/22 05:00:00+00,2013,2,7D,Ward 8,Gender Identity/Expression,,ADW,811674,399297.59,129653.21,38.83466991,-77.00809011,,{65D203E1-D890-4AF0-8D82-07F579E32FA8},,,MPD,2024/02/16 21:02:52+00,4174,
-77.0332438056735,38.917004587679,13027781,1400 block of U St NW,2013/03/03 05:00:00+00,0159-0200,2013/03/03 05:00:00+00,2013,3,3D,Ward 2,Sexual Orientation,,Simple Assault,802845,397117.19,138792.61,38.9169968,-77.03324151,,{5AD5F647-5B6B-493D-BBBE-082747C77948},,,MPD,2024/02/16 21:02:52+00,4175,
-77.0396554650008,38.9246640795471,13031810,1700 block of Columbia Rd NW,2013/03/11 04:00:00+00,2034,2013/03/11 04:00:00+00,2013,3,3D,Ward 1,Sexual Orientation,,Threats,800952,396561.52,139643.1,38.92465629,-77.03965317,,{E998308F-BD0A-4E15-A11F-999AB2F33A0C},,,MPD,2024/02/16 21:02:52+00,4176,
-76.9672354710177,38.8676581070057,13032136,2800 block of Texas Ave SE Apt B5,2013/03/12 04:00:00+00,1400,2013/03/12 04:00:00+00,2013,3,6D,Ward 7,Sexual Orientation,,Threats,801310,402843.60777659,133314.74866515,38.86765032,-76.9672332,,{BDDB79FD-4373-4707-A3A1-8EBB84A72D1E},,,MPD,2024/02/16 21:02:52+00,4177,
-77.0158203240768,38.9165114363281,13033386,1900 block of 3rd St NW,2013/03/14 04:00:00+00,2249-2250,2013/03/14 04:00:00+00,2013,3,3D,Ward 1,Sexual Orientation,,Simple Assault,805459,398628.2,138737.46,38.91650365,-77.01581803,,{6585B27C-73B7-4795-AD5F-BFAC5FAA316E},,,MPD,2024/02/16 21:02:52+00,4178,
-76.9943615210471,38.900209966604,13036237,800 block of H St NE,2013/03/20 04:00:00+00,1737,2013/03/20 04:00:00+00,2013,3,1D,Ward 6,Gender Identity/Expression,,Simple Assault,812904,400489.3,136927.76,38.90020218,-76.99435924,,{EB0A8037-0238-4ADA-A38E-2AD086D3D5CC},,,MPD,2024/02/16 21:02:52+00,4179,
-77.0239575879362,38.9169979424866,13037458,9th St NW and U St NW,2013/03/23 04:00:00+00,0210-0215,2013/03/23 04:00:00+00,2013,3,3D,Ward 1,Sexual Orientation,,Simple Assault,900954,397922.51999603,138791.61999823,38.91699015,-77.0239553,,{15EBFD1C-D383-4FEF-80E2-D579EB3869BF},,,MPD,2024/02/16 21:02:52+00,4180,
-77.0396554650008,38.9246640795471,13044090,1700 block of Columbia Rd NW,2013/04/06 04:00:00+00,0124,2013/04/06 04:00:00+00,2013,4,3D,Ward 1,Race,Asian,Simple Assault,800952,396561.52,139643.1,38.92465629,-77.03965317,,{CB4A4F7F-1605-4720-B5E9-001D45641E30},,,MPD,2024/02/16 21:02:52+00,4181,
-76.9411424281998,38.8841459476645,13046481,4400 block of Texas Ave SE,2013/04/10 04:00:00+00,1904,2013/04/10 04:00:00+00,2013,4,6D,Ward 7,Ethnicity/National Origin,Latino/Hispanic,ADW,804930,405106.86461069,135146.15903485,38.88413816,-76.94114016,,{DE7A37DF-592F-4E64-A67B-C35CACA95696},,,MPD,2024/02/16 21:02:52+00,4182,
-76.9937982915684,38.8615099878848,13046217,Howard Rd SE and Martin Luther King Jr Ave SE,2013/04/10 04:00:00+00,1044,2013/04/10 04:00:00+00,2013,4,7D,Ward 8,Sexual Orientation,,Simple Assault,902586,400538.44825445,132631.77064851,38.86150221,-76.99379601,,{83F7EBF1-7BDD-41C1-B4B9-3440476A2D37},,,MPD,2024/02/16 21:02:52+00,4183,
-77.0319524771756,38.9080463335711,13053916,1300 block of 14th St NW,2013/04/25 04:00:00+00,5300,2013/04/25 04:00:00+00,2013,4,3D,Ward 2,Sexual Orientation,,Robbery,802156,397228.83,137798.13,38.90803854,-77.03195018,,{7B2DAC5B-4BCC-4C33-9254-9CAB788A621E},,,MPD,2024/02/16 21:02:52+00,4184,
-77.0270417110095,38.9105556842231,13059479,11th St NW and Rhode Island Ave NW,2013/05/03 04:00:00+00,1800,2013/05/05 04:00:00+00,2013,5,3D,Ward 2,Sexual Orientation,,Damage/Defacing/Destruction of Property,906102,397654.84319578,138076.55081357,38.9105479,-77.02703942,,{4E47C0BF-F99F-42AA-B1AA-157F5600D01B},,,MPD,2024/02/16 21:02:52+00,4185,
-76.9799399046093,38.9015545898341,13064348,1600 block of Maryland Ave NE,2013/05/12 04:00:00+00,1800-1900,2013/05/14 04:00:00+00,2013,5,5D,Ward 5,Sexual Orientation,,Simple Assault,809645,401740.25,137077.2,38.9015468,-76.97993763,,{CA2E4F3B-6C6B-4E2E-A0CE-CB4AE8F14BEA},,,MPD,2024/02/16 21:02:52+00,4186,
-76.9804120159451,38.8964380103393,13067771,500 block of 17th St NE,2013/05/21 04:00:00+00,0115-0118,2013/05/21 04:00:00+00,2013,5,5D,Ward 7,Race,White,Simple Assault,802353,401699.42,136509.21,38.89643022,-76.98040974,,{785AE195-BDB0-42FE-9E99-FB9FE302CDD1},,,MPD,2024/02/16 21:02:52+00,4187,
-77.0390641962061,38.9143243383526,13073757,1800 block of New Hampshire Ave NW,2013/06/01 04:00:00+00,0215,2013/06/01 04:00:00+00,2013,6,3D,Ward 2,Sexual Orientation,,Robbery,813547,396612.3,138495.28,38.91431655,-77.0390619,,{E498938F-862E-4BF2-8FB1-BB04A6BD1840},,,MPD,2024/02/16 21:02:52+00,4188,
-76.9316644707118,38.9078734347425,13075701,1300 block of 49th St NE,2013/06/04 04:00:00+00,1800,2013/06/04 04:00:00+00,2013,6,6D,Ward 7,Sexual Orientation,,Simple Assault,801552,405927.23,137780.67,38.90786564,-76.93166221,,{8FD6C898-B6C7-433E-B25B-AE3480199FB5},,,MPD,2024/02/16 21:02:52+00,4189,
-76.926016714176,38.8943656154204,13077377,5200 block of Cloud Pl NE,2013/06/07 04:00:00+00,1957,2013/06/07 04:00:00+00,2013,6,6D,Ward 7,Race,White,Threats,807563,406418.29910791,136281.5760599,38.89435783,-76.92601445,,{620901FB-7FC4-40D7-8CF3-3C76BA433BE3},,,MPD,2024/02/16 21:02:52+00,4190,
